resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime
82,1084,844,6,16,2,2,2,2,7,23,1.675,1591734,4,01:08.3
83,1084,832,6,55,3,3,3,3,6,23,5.644,1595703,4,01:08.4
84,1084,847,131,63,4,4,4,4,5,23,13.429,1603488,4,01:09.0
85,1084,815,9,11,13,5,5,5,4,23,18.302,1608361,14,01:09.1
86,1084,839,214,31,5,6,6,6,3,23,31.032,1621091,4,01:09.4
87,1084,825,210,20,6,7,7,7,2,23,34.539,1624598,4,01:09.2
88,1084,1,131,44,9,8,8,8,1,23,35.447,1625506,7,01:09.5
89,1084,854,210,47,7,9,9,9,0,23,37.163,1627222,4,01:09.5
90,1084,822,51,77,12,10,10,10,0,23,37.557,1627616,4,01:09.7
91,1084,846,1,4,15,11,11,11,0,23,38.58,1628639,8,01:09.9
92,1084,817,1,3,16,12,12,12,0,23,39.738,1629797,8,01:10.0
93,1084,840,117,18,17,13,13,13,0,23,48.241,1638300,4,01:10.3
94,1084,855,51,24,18,14,14,14,0,23,50.753,1640812,11,01:10.2
95,1084,842,213,10,10,15,15,15,0,23,52.125,1642184,4,01:10.4
96,1084,848,3,23,11,16,16,16,0,23,52.412,1642471,5,01:10.4
97,1084,852,213,22,14,17,17,17,0,23,54.556,1644615,4,01:10.3
98,1084,849,3,6,19,18,18,18,0,23,+1:08.694,1658753,4,01:10.3
101,1095,847,131,63,3,1,1,1,8,24,30:11.3,1811307,4,01:14.2
102,1095,832,6,55,5,2,2,2,7,24,3.995,1815302,2,01:14.5
103,1095,1,131,44,8,3,3,3,6,24,4.492,1815799,3,01:14.3
104,1095,830,9,1,2,4,4,4,5,24,10.494,1821801,5,01:14.5
105,1095,815,9,11,9,5,5,5,4,24,11.855,1823162,5,01:14.7
106,1095,844,6,16,10,6,6,6,3,24,13.133,1824440,4,01:15.2
107,1095,846,1,4,4,7,7,7,2,24,25.624,1836931,4,01:15.4
108,1095,825,210,20,1,8,8,8,1,24,28.768,1840075,2,01:15.1
109,1095,20,117,5,13,9,9,9,0,24,30.218,1841525,4,01:15.5
110,1095,842,213,10,12,10,10,10,0,24,34.17,1845477,3,01:15.3
111,1095,817,1,3,14,11,11,11,0,24,39.395,1850702,5,01:15.4
112,1095,854,210,47,20,12,12,12,0,24,41.159,1852466,5,01:15.8
113,1095,855,51,24,17,13,13,13,0,24,41.763,1853070,7,01:15.8
114,1095,822,51,77,18,14,14,14,0,24,42.338,1853645,8,01:16.0
115,1095,852,213,22,19,15,15,15,0,24,50.306,1861613,4,01:16.4
116,1095,840,117,18,15,16,16,16,0,24,50.7,1862007,4,01:15.4
117,1095,839,214,31,6,17,17,17,0,24,51.756,1863063,5,01:16.1
118,1095,4,214,14,7,18,18,18,0,24,53.985,1865292,5,01:14.8
119,1095,849,3,6,16,19,19,19,0,24,+1:16.850,1888157,4,01:16.5
121,1101,815,9,11,2,1,1,1,8,17,33:17.7,1997667,11,01:43.6
122,1101,844,6,16,1,2,2,2,7,17,4.463,2002130,12,01:43.6
123,1101,830,9,1,3,3,3,3,6,17,5.065,2002732,10,01:43.7
124,1101,847,131,63,4,4,4,4,5,17,3.467,2001134,10,01:44.4
125,1101,832,6,55,5,5,5,5,4,17,10.388,2008055,11,01:44.4
126,1101,4,117,14,8,6,6,6,3,17,11.613,2009280,12,01:44.5
127,1101,1,131,44,6,7,7,7,2,17,4.89,2002557,8,01:44.6
128,1101,840,117,18,9,8,8,8,1,17,18.417,2016084,14,01:44.9
129,1101,848,3,23,7,9,9,9,0,17,21.757,2019424,10,01:44.9
130,1101,857,1,81,11,10,10,10,0,17,22.851,2020518,8,01:44.8
131,1101,825,210,20,13,11,11,11,0,17,27.99,2025657,14,01:45.3
132,1101,855,51,24,14,12,12,12,0,17,34.602,2032269,16,01:45.8
133,1101,842,214,10,17,13,13,13,0,17,36.918,2034585,12,01:45.9
134,1101,856,213,21,18,14,14,14,0,17,41.626,2039293,17,01:45.8
135,1101,807,210,27,12,15,15,15,0,17,48.587,2046254,8,01:46.0
136,1101,822,51,77,15,16,16,16,0,17,49.917,2047584,9,01:46.3
137,1101,846,1,4,10,17,17,17,0,17,51.104,2048771,15,01:44.5
138,1101,839,214,31,0,18,18,18,0,17,+1:00.621,2058288,15,01:45.1
141,1107,830,9,1,1,1,1,1,8,24,30:26.7,1826730,19,01:14.3
142,1107,815,9,11,2,2,2,2,7,24,21.048,1847778,16,01:15.5
143,1107,832,6,55,5,3,3,3,6,24,23.088,1849818,16,01:15.5
144,1107,840,117,18,7,4,4,4,5,24,29.703,1856433,23,01:15.5
145,1107,4,117,14,6,5,5,5,4,24,30.109,1856839,18,01:15.0
146,1107,807,210,27,4,6,6,6,3,24,31.297,1858027,24,01:10.2
147,1107,839,214,31,8,7,7,7,2,24,36.602,1863332,22,01:15.5
148,1107,847,131,63,15,8,8,8,1,24,36.611,1863341,23,01:10.4
149,1107,846,1,4,3,9,9,9,0,24,38.608,1865338,19,01:15.6
150,1107,1,131,44,18,10,10,10,0,24,46.375,1873105,24,01:10.8
151,1107,857,1,81,17,11,11,11,0,24,49.807,1876537,24,01:10.3
152,1107,844,6,16,9,12,12,12,0,24,50.789,1877519,24,01:10.7
153,1107,848,3,23,11,13,13,13,0,24,52.848,1879578,24,01:11.6
154,1107,825,210,20,10,14,14,14,0,24,56.593,1883323,23,01:10.5
155,1107,842,214,10,12,15,15,15,0,24,57.652,1884382,22,01:16.1
156,1107,852,213,22,13,16,16,16,0,24,+1:04.822,1891552,23,01:11.4
157,1107,856,213,21,14,17,17,17,0,24,+1:05.617,1892347,22,01:11.7
158,1107,858,3,2,20,18,18,18,0,24,+1:06.059,1892789,21,01:11.8
159,1107,855,51,24,16,19,19,19,0,24,+1:10.825,1897555,22,01:11.3
160,1107,822,51,77,0,20,20,20,0,24,+1:16.435,1903165,22,01:16.8
161,1110,830,9,1,1,1,1,1,8,11,24:58.4,1498433,6,01:58.9
162,1110,857,1,81,2,2,2,2,7,11,6.677,1505110,2,02:00.4
163,1110,842,214,10,6,3,3,3,6,11,10.733,1509166,6,02:01.9
164,1110,832,6,55,3,4,4,4,5,11,12.648,1511081,7,02:01.5
165,1110,844,6,16,4,5,5,5,4,11,15.016,1513449,7,02:02.6
166,1110,846,1,4,5,6,6,6,3,11,16.052,1514485,8,02:02.1
167,1110,1,131,44,7,7,7,7,2,11,16.757,1515190,7,02:00.9
168,1110,847,131,63,10,8,8,8,1,11,16.822,1515255,10,02:01.9
169,1110,839,214,31,9,9,9,9,0,11,22.41,1520843,6,02:03.1
170,1110,817,213,3,11,10,10,10,0,11,22.806,1521239,8,02:03.0
171,1110,840,117,18,14,11,11,11,0,11,25.007,1523440,6,02:03.4
172,1110,848,3,23,12,12,12,12,0,11,26.303,1524736,6,02:03.7
173,1110,822,51,77,17,13,13,13,0,11,27.006,1525439,6,02:03.6
174,1110,825,210,20,18,14,14,14,0,11,32.986,1531419,6,02:04.0
175,1110,855,51,24,19,15,15,15,0,11,36.342,1534775,6,02:04.8
176,1110,858,3,2,13,16,16,16,0,11,37.571,1536004,6,02:03.5
177,1110,807,210,27,20,17,17,17,0,11,37.827,1536260,6,02:03.5
178,1110,852,213,22,16,18,18,18,0,11,39.267,1537700,7,02:02.1
