constructorId,constructorRef,name,nationality
200,march-ford,March-Ford,British
201,lotus-pw,Lotus-Pratt &amp; Whitney,British
202,shadow-ford,Shadow-Ford,British
203,shadow-matra,Shadow-Matra,British
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British
205,lotus_racing,Lotus,Malaysian
206,marussia,Marussia,Russian
207,caterham,Caterham,Malaysian
208,lotus_f1,Lotus F1,British
209,manor,Manor Marussia,British
210,haas,Haas F1 Team,American
211,racing_point,Racing Point,British
213,alphatauri,AlphaTauri,Italian
214,alpine,Alpine F1 Team,French
